Feature,Importance
MedInc,0.5929476548716589
AveOccup,0.13943380556009796
Latitude,0.07859800506184225
Longitude,0.07751753307492303
HouseAge,0.047857060576074764
AveRooms,0.029778208260490338
Population,0.017285112691598783
AveBedrms,0.016582619903314062
